OTU,Phylum,Class,Order,Family,Genus,Species,total,number,OTU_id
013e89db7fafba857f9b6bc53ba38d52,Patescibacteria,WWE3,unidentified,unidentified,unidentified,unidentified,392,B2090,B2090_o_NA
bdde0ac65b7ad3c09a8be366b84acfb2,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unidentified,unidentified,392,B2091,B2091_f_Enterobacteriaceae
dc4b0ffa3356c1b835317813602b9e87,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,unidentified,unidentified,unidentified,392,B2092,B2092_o_Betaproteobacteriales
FPLS01036087.1.1399,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Asanoa,unidentified,392,B2093,B2093_Asanoa
HM328208.1.1339,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,unidentified,392,B2094,B2094_Caproiciproducens
JX505033.1.1422,Chloroflexi,Anaerolineae,RBG-13-54-9,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,392,B2095,B2095_uncultured.Anaerolineaceae.bacterium
AB240238.1.1485,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,unidentified,unidentified,391,B2096,B2096_f_Bacteroidetes.BD2.2
EU399661.1.1485,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria Incertae Sedis,Syntrophorhabdaceae,Syntrophorhabdus,uncultured delta proteobacterium,391,B2097,B2097_Syntrophorhabdus
f60b281de0822027a1580ff3177bb530,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,unidentified,391,B2098,B2098_Anaerolinea
AB487131.1.1364,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured Gemmatimonadaceae bacterium,390,B2099,B2099_Gemmatimonas
AM779061.1.1400,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Phaeospirillum,Phaeospirillum chandramohanii,390,B2100,B2100_Phaeospirillum
AY928242.1.1351,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,bacterium S4531,390,B2101,B2101_Desulfovibrio
JX133556.1.1470,Actinobacteria,Actinobacteria,Frankiales,uncultured,unidentified,unidentified,390,B2102,B2102_f_uncultured
KC554753.1.1486,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,uncultured bacterium,390,B2103,B2103_Dactylosporangium
KY621869.1.1219,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unidentified,390,B2104,B2104_Bacillus
4a1b1aa108db1432430947d4c766f5b1,Latescibacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,389,B2105,B2105_uncultured.bacterium
HQ385507.1.1390,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,OLB12,uncultured bacterium,389,B2106,B2106_OLB12
KF066648.1.1339,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,unidentified,unidentified,389,B2107,B2107_f_Kineosporiaceae
AM935855.1.1316,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,unidentified,unidentified,388,B2108,B2108_f_uncultured
EU876663.1.1356,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,unidentified,388,B2109,B2109_Xanthobacter
f18454304115b1a41526bcfc80420008,Bacteroidetes,Ignavibacteria,Ignavibacteriales,BSV40,unidentified eubacterium clone BSV40,unidentified eubacterium clone BSV40,388,B2110,B2110_unidentified.eubacterium.clone.BSV40
KX710048.1.1331,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,unidentified,unidentified,388,B2111,B2111_f_Pseudomonadaceae
